star_name,ra,dec,ra_J2016,dec_J2016,tic_id,gaia_dr2_id,gaia_dr3_id,hip_name,tm_name,tyc_name,wds_designation,simbad_name,source_list_fl,sy_pmra,sy_pmraerr,sy_pmdec,sy_pmdecerr,sy_pmsrc,sy_pm_reflink,sy_ujmag,sy_ujmagerr,sy_ujmagsrc,sy_ujmag_reflink,sy_bmag,sy_bmagerr,sy_bmagsrc,sy_bmag_reflink,sy_vmag,sy_vmagerr,sy_vmagsrc,sy_vmag_reflink,sy_rcmag,sy_rcmagerr,sy_rcmagsrc,sy_rcmag_reflink,sy_icmag,sy_icmagerr,sy_icmagsrc,sy_icmag_reflink,sy_jmag,sy_jmagerr,sy_jmagsrc,sy_jmag_reflink,sy_hmag,sy_hmagerr,sy_hmagsrc,sy_hmag_reflink,sy_kmag,sy_kmagmerr,sy_kmagsrc,sy_kmag_reflink,sy_tmag,sy_tmagerr,sy_gaiamag,sy_gaiamagerr,sy_gaiamagsrc,sy_gaiamag_reflink,sy_bpmag,sy_bpmagerr,sy_rpmag,sy_rpmagerr,sy_plx,sy_plxerr,sy_plxsrc,sy_plx_reflink,sy_dist,sy_disterr,sy_distsrc,sy_dist_reflink,ambiguous_dist_fl,st_spectype,st_spectype_reflink,dwarf_fl,st_teff,st_tefferr,st_teffsrc,st_teff_reflink,st_logg,st_loggerr,st_loggsrc,st_logg_reflink,st_loggspec,st_loggspecerr,st_loggspecsrc,st_loggspec_reflink,st_met,st_meterr,st_metsrc,st_met_reflink,st_lum,st_lumerr,st_lumsrc,st_lum_reflink,st_rad,st_raderr,st_radsrc,st_rad_reflink,st_mass,st_masserr,st_masssrc,st_mass_reflink,uncertain_M_flag,st_age,st_ageerr,st_agesrc,st_age_reflink,contaminant_fl,brightest_sep,brightest_Gmag,brightest_id,nearest_sep,nearest_Gmag,nearest_id,known_binary_fl,gaia_binary_fl,wds_comp,wds_sep,wds_deltamag,GCNS_companion,GCNS_sep,GCNS_mag_diff,sy_planets_flag,hostname,Star,Teff,logg,Vtur,SimbadName,_RA,_DE
TIC 14344965,163.7676241488,-0.80524006933,163.76657690003614,-0.8051736479116619,14344965.0,3.8030011947927214e+18,3.8030011947927214e+18,53383.0,2MASS J10550424-0048188,4914-00700-1,,BD-00  2387,tic_near,-235.6211900866644,0.0166111551225185,14.992534269296822,0.0149050764739513,GaiaDR3,2023A&A...674A...1G,12.172,0.002,Simbad 1992AJ....104..340L,1992AJ....104..340L,11.154,0.0006,Simbad 2009AJ....137.4186L,2009AJ....137.4186L,10.074,0.0006,Simbad 2009AJ....137.4186L,2009AJ....137.4186L,9.429,0.0006,Simbad 2009AJ....137.4186L,2009AJ....137.4186L,8.905,0.0004,Simbad 2009AJ....137.4186L,2009AJ....137.4186L,8.136,0.023,TIC,2019AJ....158..138S,7.663,0.046,TIC,2019AJ....158..138S,7.508,0.016,TIC,2019AJ....158..138S,9.054,0.006,9.711430549621582,0.0027870428054012,gaia_dr3,2023A&A...674A...1G,10.291353225708008,0.0033725379851504,8.992820739746094,0.0041040004497484,22.23054658143705,0.014924731105566,GaiaDR3,2023A&A...674A...1G,44.9122200012207,0.0336551666259765,bj2021,2021AJ....161..147B,0,K5III:,2008AstL...34...17T,1,4833.0,112.0,Pastel,2022A&A...663A...4S,4.649109418178052,0.073642416750269,calculated_from_M_and_R,Calculated Value,4.47,0.22,Pastel,2022A&A...663A...4S,0.03,0.08,Pastel,2022A&A...663A...4S,-0.6474119932214936,0.0570842000593521,update_TIC_gaia2,Calculated Value,0.6768821444638554,0.0544347023064131,calc_from_L_and_Teff,Calculated Value,0.7448484301567078,0.0400000214576721,gaia_dr3_flame,2023A&A...674A...1G,0,10.637752532958984,2.419893264770508,gaia_dr3_flame,2023A&A...674A...1G,,9.798058,18.608126,3.8030010917139896e+18,9.798058,18.608126,3.8030010917139896e+18,0,0,,,,,,,0,,BD-002387,4833,4.47,0.85,BD-002387,163.76762,-0.80524
TIC 248953025,21.28953480872,-1.05968209869,21.288673007387946,-1.0609770879758815,248953025.0,2.485808048791095e+18,2.485808048791095e+18,6639.0,2MASS J01250950-0103346,4682-01735-1,,BD-01   184,tic_near,-193.8631212251236,0.022558469325304,-291.59532344590787,0.0197937209159135,GaiaDR3,2023A&A...674A...1G,,,,,10.52,,Simbad,,9.47,,Simbad,,,,,,,,,,7.594,0.027,TIC,2019AJ....158..138S,7.042,0.051,TIC,2019AJ....158..138S,6.918,0.024,TIC,2019AJ....158..138S,8.469,0.006,9.123861312866213,0.0027608036511743,gaia_dr3,2023A&A...674A...1G,9.68843936920166,0.002830833244661,8.41126823425293,0.0037936205030716,31.36730195714704,0.0188990589231252,GaiaDR3,2023A&A...674A...1G,31.84906959533691,0.0183477401733398,bj2021,2021AJ....161..147B,0,K3,1985ApJS...59..197B,1,4728.0,93.0,Pastel,2022A&A...663A...4S,4.642074168092655,0.0457517891401623,calculated_from_M_and_R,Calculated Value,4.34,0.2,Pastel,2022A&A...663A...4S,-0.34,0.06,Pastel,2022A&A...663A...4S,-0.694571950674033,0.0183755444487694,update_TIC,Calculated Value,0.6699027085898098,0.0299230187175831,calc_from_L_and_Teff,Calculated Value,0.7178438901901245,0.0400789380073547,gaia_dr3_flame,2023A&A...674A...1G,0,13.096464157104492,1.626500129699707,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,BD-010184,4728,4.34,0.4,BD-010184,21.28954,-1.05968
TIC 38064734,169.30693346379,-1.98185426915,169.30440602407458,-1.981917767894282,38064734.0,3.7907550447367967e+18,3.7907550447367967e+18,55132.0,2MASS J11171370-0158546,4922-00787-1,,BD-01  2505,tic_near,-568.2998303147219,0.017788965255022,-14.30989308234515,0.0147456880658864,GaiaDR3,2023A&A...674A...1G,,,,,10.95,,Simbad,,9.878,0.13,Simbad 2012yCat.1322....0Z,2012yCat.1322....0Z,9.804,0.02,Simbad 2012yCat.1322....0Z,2012yCat.1322....0Z,,,,,7.66,0.026,TIC,2019AJ....158..138S,7.074,0.036,TIC,2019AJ....158..138S,6.963,0.029,TIC,2019AJ....158..138S,8.638,0.006,9.340876579284668,0.002763309635918,gaia_dr3,2023A&A...674A...1G,9.978182792663574,0.0028434104289956,8.577535629272461,0.0037924323468203,30.138378481234444,0.0235133040696382,GaiaDR3,2023A&A...674A...1G,33.145225524902344,0.0311737060546875,bj2021,2021AJ....161..147B,0,K4/5V,1986AJ.....92..139S,1,4741.0,102.0,Pastel,2022A&A...663A...4S,4.700764183159469,0.0482582869152417,calculated_from_M_and_R,Calculated Value,4.51,0.22,Pastel,2022A&A...663A...4S,-0.11,0.07,Pastel,2022A&A...663A...4S,-0.7498719056588316,0.0185106326166442,update_TIC,Calculated Value,0.6251392701499414,0.0300174355825936,calc_from_L_and_Teff,Calculated Value,0.7155666947364807,0.0400000214576721,gaia_dr3_flame,2023A&A...674A...1G,0,11.631795883178713,2.298747062683105,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,BD-012505,4741,4.51,0.44,BD-012505,169.30694,-1.98185
TIC 38840951,228.49850603597,-3.79799870705,228.4952101795781,-3.7973267008206535,38840951.0,6.336170195850218e+18,6.336170195850218e+18,74555.0,2MASS J15135968-0347529,5009-00154-1,,BD-03  3746,tic_near,-739.7585960406604,0.0189950708299875,151.19591263796843,0.0184576492756605,GaiaDR3,2023A&A...674A...1G,,,,,10.98,,Simbad,,9.85,,Simbad,,,,,,,,,,7.65,0.027,TIC,2019AJ....158..138S,7.011,0.047,TIC,2019AJ....158..138S,6.906,0.02,TIC,2019AJ....158..138S,8.667,0.006,9.381684303283691,0.0027648123488317,gaia_dr3,2023A&A...674A...1G,10.03253173828125,0.0030061536670826,8.603765487670898,0.0038026801844013,38.87152296722171,0.0208401046693325,GaiaDR3,2023A&A...674A...1G,25.702133178710938,0.0112619400024414,bj2021,2021AJ....161..147B,0,K4,1985ApJS...59..197B,1,4388.0,111.0,Pastel,2022A&A...663A...4S,4.717914764695472,0.0571822571187711,calculated_from_M_and_R,Calculated Value,4.63,0.23,Pastel,2022A&A...663A...4S,-0.9,0.06,Pastel,2022A&A...663A...4S,-0.9246958724080526,0.0261285017823977,update_TIC,Calculated Value,0.59672120457157,0.0351230283711432,calc_from_L_and_Teff,Calculated Value,0.6782504320144653,0.0400006175041198,gaia_dr3_flame,2023A&A...674A...1G,0,0.9936997294425964,2.001168392598629,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,BD-033746,4732,4.63,0.15,BD-033746,228.49851,-3.798
TIC 243807838,302.42088034317,-3.12901087081,302.4200037387285,-3.12919821065448,243807838.0,4.223280413481383e+18,4.223280413481383e+18,99332.0,2MASS J20094103-0307443,5165-01867-1,,BD-03  4797,tic_near,-196.9937083277265,0.0163702107965946,-42.22790938506161,0.0099656414240598,GaiaDR3,2023A&A...674A...1G,,,,,10.84,0.06,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,9.59,0.03,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,7.439,0.026,TIC,2019AJ....158..138S,6.888,0.034,TIC,2019AJ....158..138S,6.742,0.026,TIC,2019AJ....158..138S,8.42,0.006,9.134276390075684,0.0027652573532519,gaia_dr3,2023A&A...674A...1G,9.787353515625,0.0028755410801521,8.361919403076172,0.0038102184600284,32.35251146029108,0.0146019728854298,GaiaDR3,2023A&A...674A...1G,30.876359939575195,0.0136051177978515,bj2021,2021AJ....161..147B,0,K4,,1,4622.0,140.3,TIC,2019AJ....158..138S,4.627430387458676,0.0811749186487655,calculated_from_M_and_R,Calculated Value,,,,,0.06,0.12,TIC,2019AJ....158..138S,-0.7120254251485513,0.0247885660979976,update_TIC,Calculated Value,0.6870368791421035,0.0460884999577993,calc_from_L_and_Teff,Calculated Value,0.73,0.095,TIC,2019AJ....158..138S,0,,,,,,,,,,,,0,0,,,,,,,0,,BD-034797,4622,4.21,0.3,BD-034797,302.42089,-3.12901
TIC 58184907,249.58178999267,-5.02082285996,249.58170786849988,-5.021261429017869,58184907.0,4.354023199399639e+18,4.354023203698182e+18,81465.0,2MASS J16381963-0501149,5057-00270-1,,BD-04  4138,tic_near,-18.26674970472505,0.0189520698040723,-98.66190109680518,0.0144823128357529,GaiaDR3,2023A&A...674A...1G,,,,,11.562,0.013,Simbad 2014AJ....148...81M,2014AJ....148...81M,10.386,0.025,Simbad 2014AJ....148...81M,2014AJ....148...81M,,,,,,,,,8.181,0.024,TIC,2019AJ....158..138S,7.549,0.033,TIC,2019AJ....158..138S,7.45,0.029,TIC,2019AJ....158..138S,9.191,0.006,9.92452907562256,0.0027627671096504,gaia_dr3,2023A&A...674A...1G,10.606483459472656,0.0028114252595705,9.13061809539795,0.0037875616740282,24.73688381558551,0.0167468786239624,GaiaDR3,2023A&A...674A...1G,40.36545944213867,0.0215549468994176,bj2021,2021AJ....161..147B,0,K5+V,2006AJ....132..161G,1,4604.0,165.8,TIC,2019AJ....158..138S,4.701866129586616,0.0870254970509718,calculated_from_M_and_R,Calculated Value,,,,,-0.11,0.1,TIC,2019AJ....158..138S,-0.7932396720178362,0.0257689744499525,update_TIC,Calculated Value,0.6306119247557688,0.049121680914926,calc_from_L_and_Teff,Calculated Value,0.73,0.092,TIC,2019AJ....158..138S,0,,,,,,5.542239,17.256769,4.354023199401689e+18,5.542239,17.256769,4.354023199401689e+18,0,0,,,,,,,0,,BD-044138,4604,4.39,0.38,BD-044138,249.58179,-5.02083
TIC 251111149,38.89596307622,-4.76712117755,38.89673118282135,-4.767772493210386,251111149.0,2.4889989732694646e+18,2.4889989732694646e+18,12065.0,2MASS J02353501-0446015,4701-00782-1,,BD-05   484,tic_near,172.31382991229398,0.0224160682410001,-146.64426806233965,0.0192733407020568,GaiaDR3,2023A&A...674A...1G,,,,,11.31,0.1,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,10.1,0.05,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,10.027,0.02,Simbad 2012yCat.1322....0Z,2012yCat.1322....0Z,,,,,8.129,0.026,TIC,2019AJ....158..138S,7.54,0.026,TIC,2019AJ....158..138S,7.419,0.026,TIC,2019AJ....158..138S,9.069,0.006,9.757131576538086,0.0027667489791861,gaia_dr3,2023A&A...674A...1G,10.37495231628418,0.0029338932245018,9.006235122680664,0.003827703833101,25.62172588015596,0.0167599525302648,GaiaDR3,2023A&A...674A...1G,38.97526931762695,0.0233459472656214,bj2021,2021AJ....161..147B,0,K4:V,1986AJ.....92..139S,1,4674.0,106.0,Pastel,2022A&A...663A...4S,4.699158754135697,0.0485799808714361,calculated_from_M_and_R,Calculated Value,4.42,0.24,Pastel,2022A&A...663A...4S,-0.39,0.1,Pastel,2022A&A...663A...4S,-0.7668683260746446,0.0146766743525295,update_TIC,Calculated Value,0.6307264817240817,0.030528711172167,calc_from_L_and_Teff,Calculated Value,0.7257269620895386,0.0406754612922668,gaia_dr3_flame,2023A&A...674A...1G,0,4.72054386138916,3.485675454139709,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,BD-050484,4674,4.42,0.21,BD-050484,38.89597,-4.76712
TIC 148562158,164.60152893283,-6.73723506047,164.5997252624063,-6.737336548460737,148562158.0,3.7637724753396946e+18,3.7637724753396946e+18,53639.0,2MASS J10582437-0644143,4920-01010-1,,BD-05  3176,tic_near,-403.2262868927985,0.0168220065534114,-22.624740476736267,0.014940932393074,GaiaDR3,2023A&A...674A...1G,,,,,11.41,0.12,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,10.242,0.02,Simbad 2012yCat.1322....0Z,2012yCat.1322....0Z,10.059,0.03,Simbad 2012yCat.1322....0Z,2012yCat.1322....0Z,,,,,8.2,0.024,TIC,2019AJ....158..138S,7.733,0.044,TIC,2019AJ....158..138S,7.554,0.021,TIC,2019AJ....158..138S,9.179,0.006,9.858370780944824,0.0027689378020429,gaia_dr3,2023A&A...674A...1G,10.465142250061035,0.0028183255108816,9.118695259094238,0.0037909856913938,22.145818429375687,0.0176469702273607,GaiaDR3,2023A&A...674A...1G,45.092586517333984,0.0340385437011718,bj2021,2021AJ....161..147B,0,K4V,1986AJ.....92..139S,1,4758.0,111.0,Pastel,2022A&A...663A...4S,4.380187478885271,0.317766119712416,calculated_from_M_and_R,Calculated Value,4.39,0.24,Pastel,2022A&A...663A...4S,-0.09,0.07,Pastel,2022A&A...663A...4S,-0.4148810466780352,0.3142695362685497,update_TIC,Calculated Value,0.9127739689332868,0.3329910749661924,calc_from_L_and_Teff,Calculated Value,0.7291994690895081,0.0400000214576721,gaia_dr3_flame,2023A&A...674A...1G,0,10.897770881652832,2.5790576934814444,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,BD-053176,4758,4.39,0.82,BD-053176,164.60153,-6.73723
TIC 319361376,193.73336288407,-6.33860357126,193.7320383718588,-6.339384923323309,319361376.0,3.6772933818497546e+18,3.6772933818497546e+18,63023.0,2MASS J12545603-0620189,4956-00371-1,WDS J12549-0620A,BD-05  3596,tic_near,-296.1196915042654,0.0214895363897085,-175.80388519329142,0.0141368489712476,GaiaDR3,2023A&A...674A...1G,,,,,11.61,,Simbad,,10.413,0.01,Simbad 2012yCat.1322....0Z,2012yCat.1322....0Z,10.131,0.02,Simbad 2012yCat.1322....0Z,2012yCat.1322....0Z,,,,,8.281,0.023,TIC,2019AJ....158..138S,7.706,0.057,TIC,2019AJ....158..138S,7.579,0.02,TIC,2019AJ....158..138S,9.277,0.006,9.988043785095217,0.0027714195512602,gaia_dr3,2023A&A...674A...1G,10.637370109558104,0.0028965052559619,9.217727661132812,0.0038150457743705,25.14540989623814,0.0183366760611534,GaiaDR3,2023A&A...674A...1G,39.70790481567383,0.0262718200683593,bj2021,2021AJ....161..147B,0,K4V,1986AJ.....92..139S,1,4652.0,78.0,Pastel,2022A&A...663A...4S,4.731001704120521,0.0438205763244254,calculated_from_M_and_R,Calculated Value,4.43,0.18,Pastel,2022A&A...663A...4S,-0.34,0.04,Pastel,2022A&A...663A...4S,-0.830790179048883,0.0204949233213315,update_TIC,Calculated Value,0.5915318633260346,0.024254837350379,calc_from_L_and_Teff,Calculated Value,0.6868950128555298,0.0403798818588256,gaia_dr3_flame,2023A&A...674A...1G,0,12.47218894958496,2.600338935852051,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,1,1,A,20.1,6.57,3.6772941377639987e+18,20.1096,4.56,0,,BD-053596,4594,4.32,0.27,BD-053596,193.73336,-6.3386
TIC 183640653,179.31520901335,-6.97688821708,179.31547525703368,-6.976253878468538,183640653.0,3.595251741196699e+18,3.595251741196699e+18,58289.0,2MASS J11571565-0658369,4938-01158-1,,BD-06  3481,tic_near,59.36189019790513,0.0207089744508266,142.9511167313233,0.0139510324224829,GaiaDR3,2023A&A...674A...1G,,,,,10.54,,Simbad,,9.59,,Simbad,,,,,,,,,,7.747,0.02,TIC,2019AJ....158..138S,7.279,0.036,TIC,2019AJ....158..138S,7.145,0.02,TIC,2019AJ....158..138S,8.597,0.006,9.219927787780762,0.0027581614263889,gaia_dr3,2023A&A...674A...1G,9.743215560913086,0.0028185673094163,8.538884162902832,0.0037842523844615,25.78572058544011,0.0213567595928907,GaiaDR3,2023A&A...674A...1G,38.72210311889648,0.0294036865234339,bj2021,2021AJ....161..147B,0,K8,,1,4815.0,107.0,Pastel,2022A&A...663A...4S,4.589877818551756,0.0645638960723325,calculated_from_M_and_R,Calculated Value,4.36,0.21,Pastel,2022A&A...663A...4S,-0.14,0.07,Pastel,2022A&A...663A...4S,-0.5746357124017551,0.0129278358859316,update_TIC,Calculated Value,0.7415530162445112,0.0347568817424846,calc_from_L_and_Teff,Calculated Value,0.78,0.09,TIC,2019AJ....158..138S,0,,,,,,,,,,,,0,0,,,,,,,0,,BD-063481,4815,4.36,0.41,BD-063481,179.31521,-6.97689
