star_name,ra,dec,ra_J2016,dec_J2016,tic_id,gaia_dr2_id,gaia_dr3_id,hip_name,tm_name,tyc_name,wds_designation,simbad_name,source_list_fl,sy_pmra,sy_pmraerr,sy_pmdec,sy_pmdecerr,sy_pmsrc,sy_pm_reflink,sy_ujmag,sy_ujmagerr,sy_ujmagsrc,sy_ujmag_reflink,sy_bmag,sy_bmagerr,sy_bmagsrc,sy_bmag_reflink,sy_vmag,sy_vmagerr,sy_vmagsrc,sy_vmag_reflink,sy_rcmag,sy_rcmagerr,sy_rcmagsrc,sy_rcmag_reflink,sy_icmag,sy_icmagerr,sy_icmagsrc,sy_icmag_reflink,sy_jmag,sy_jmagerr,sy_jmagsrc,sy_jmag_reflink,sy_hmag,sy_hmagerr,sy_hmagsrc,sy_hmag_reflink,sy_kmag,sy_kmagmerr,sy_kmagsrc,sy_kmag_reflink,sy_tmag,sy_tmagerr,sy_gaiamag,sy_gaiamagerr,sy_gaiamagsrc,sy_gaiamag_reflink,sy_bpmag,sy_bpmagerr,sy_rpmag,sy_rpmagerr,sy_plx,sy_plxerr,sy_plxsrc,sy_plx_reflink,sy_dist,sy_disterr,sy_distsrc,sy_dist_reflink,ambiguous_dist_fl,st_spectype,st_spectype_reflink,dwarf_fl,st_teff,st_tefferr,st_teffsrc,st_teff_reflink,st_logg,st_loggerr,st_loggsrc,st_logg_reflink,st_loggspec,st_loggspecerr,st_loggspecsrc,st_loggspec_reflink,st_met,st_meterr,st_metsrc,st_met_reflink,st_lum,st_lumerr,st_lumsrc,st_lum_reflink,st_rad,st_raderr,st_radsrc,st_rad_reflink,st_mass,st_masserr,st_masssrc,st_mass_reflink,uncertain_M_flag,st_age,st_ageerr,st_agesrc,st_age_reflink,contaminant_fl,brightest_sep,brightest_Gmag,brightest_id,nearest_sep,nearest_Gmag,nearest_id,known_binary_fl,gaia_binary_fl,wds_comp,wds_sep,wds_deltamag,GCNS_companion,GCNS_sep,GCNS_mag_diff,sy_planets_flag,hostname,Star,Teff,logg,Vtur,SimbadName,_RA,_DE
TIC 241655722,207.77451063513,-53.73500757611,207.7728687420312,-53.73532362543625,241655722.0,6.065158377962553e+18,6.065158377962553e+18,67601.0,2MASS J13510590-5344060,8664-01436-1,,HD 120491,tic_near,-218.7511606571752,0.0211937427520751,-70.80617286442127,0.0208306182175874,GaiaDR3,2023A&A...674A...1G,,,,,10.69,0.05,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,9.55,0.02,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,7.48,0.024,TIC,2019AJ....158..138S,6.902,0.036,TIC,2019AJ....158..138S,6.762,0.021,TIC,2019AJ....158..138S,8.428,0.006,9.120205879211426,0.0027674185905373,gaia_dr3,2023A&A...674A...1G,9.738280296325684,0.0029118556079406,8.369232177734375,0.0038102925676607,35.590437607694234,0.0218502674251794,GaiaDR3,2023A&A...674A...1G,28.08361434936523,0.0177164077758789,bj2021,2021AJ....161..147B,0,K4.5V,2006AJ....132..161G,1,4680.0,96.0,Pastel,2022A&A...663A...4S,4.712472860731251,0.0480997586739029,calculated_from_M_and_R,Calculated Value,4.49,0.21,Pastel,2022A&A...663A...4S,-0.34,0.07,Pastel,2022A&A...663A...4S,-0.7968451218195948,0.0204144732231951,update_TIC,Calculated Value,0.6077687665684379,0.0287359325359594,calc_from_L_and_Teff,Calculated Value,0.6948354840278625,0.040062665939331,gaia_dr3_flame,2023A&A...674A...1G,0,12.933568000793455,1.8513879776000977,gaia_dr3_flame,2023A&A...674A...1G,,7.711554,18.176495,6.065158377947529e+18,5.107996,20.231676,6.06515837796406e+18,0,0,,,,,,,0,,HD120491,4680,4.49,0.4,HD120491,207.77451,-53.73501
TIC 208844024,209.32182670724,-56.04004342027,209.31984413346217,-56.040420236168494,208844024.0,5.872266689452551e+18,5.872266689455301e+18,68162.0,2MASS J13571724-5602242,8668-00674-1,WDS J13573-5602A,HD 121504,tic_near,-249.35421958244729,0.017145287245512,-84.57038390589801,0.0253199134021997,GaiaDR3,2023A&A...674A...1G,,,,,8.12,0.02,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.52,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,6.557,0.093,TIC,2019AJ....158..138S,6.224,0.036,TIC,2019AJ....158..138S,6.124,0.017,TIC,2019AJ....158..138S,6.988,0.006,7.401541233062744,0.0027619416967087,gaia_dr3,2023A&A...674A...1G,7.696730136871338,0.0028063889866424,6.944007396697998,0.0037887501590606,24.05931484886799,0.0269045028835535,GaiaDR3,2023A&A...674A...1G,41.51559448242188,0.0435066223144531,bj2021,2021AJ....161..147B,0,G2V,1975MSS...C01....0H,1,6033.0,17.0,Pastel,2022A&A...663A...4S,4.372443396142959,0.0223424143228238,calculated_from_M_and_R,Calculated Value,4.55,0.06,Pastel,2022A&A...663A...4S,0.14,0.02,Pastel,2022A&A...663A...4S,0.1471305382996938,0.0134108026856414,update_TIC,Calculated Value,1.0843045080045477,0.0178217868069584,calc_from_L_and_Teff,Calculated Value,1.0108304023742676,0.0400017201900482,gaia_dr3_flame,2023A&A...674A...1G,0,7.182614803314209,0.968564510345459,gaia_dr3_flame,2023A&A...674A...1G,,4.430724,16.08148,5.872266689452671e+18,4.430724,16.08148,5.872266689452671e+18,1,1,A,36.2,1.2400000000000002,,,,1,HD 121504,HD121504,6022,4.49,1.12,HD121504,209.32183,-56.04004
TIC 396255306,212.11317625666,-74.85028677288,212.1090387533397,-74.84948901093674,396255306.0,5.790389872417571e+18,5.790389872417571e+18,69090.0,2MASS J14082713-7451010,9256-02069-1,,HD 122862,tic_near,-243.5738105725987,0.0240235552191734,179.54018094825125,0.0262704454362392,GaiaDR3,2023A&A...674A...1G,,,,,6.6,,Simbad,,6.02,,Simbad,,,,,,,,,,4.916,0.037,TIC,2019AJ....158..138S,4.677,0.076,TIC,2019AJ....158..138S,4.58,0.023,TIC,2019AJ....158..138S,5.475,0.006,5.875319480895996,0.0027824355074965,gaia_dr3,2023A&A...674A...1G,6.16691780090332,0.0028655801968293,5.410476207733154,0.0041053431441923,34.149105120135566,0.025594038888812,GaiaDR3,2023A&A...674A...1G,29.273826599121097,0.019331932067871,bj2021,2021AJ....161..147B,0,F9.5V,2006AJ....132..161G,1,5963.0,18.0,Pastel,2022A&A...663A...4S,4.083687662590479,0.0209174829955673,calculated_from_M_and_R,Calculated Value,4.17,0.04,Pastel,2022A&A...663A...4S,-0.12,0.02,Pastel,2022A&A...663A...4S,0.4514155484833145,0.0126322206089424,update_TIC,Calculated Value,1.5755449585861157,0.0248096099681363,calc_from_L_and_Teff,Calculated Value,1.0976948738098145,0.0400013923645019,gaia_dr3_flame,2023A&A...674A...1G,0,7.396750450134277,0.7561085224151611,gaia_dr3_flame,2023A&A...674A...1G,,9.507291,18.570572,5.790391349883287e+18,9.507291,18.570572,5.790391349883287e+18,0,0,,,,,,,0,,HD122862,5982,4.23,1.29,HD122862,212.11319,-74.85028
TIC 38638674,211.67199970438,-5.51833570177,211.67017664257529,-5.518749936985275,38638674.0,3.643688458214366e+18,3.643688458214366e+18,68936.0,2MASS J14064129-0531059,4981-00353-1,,HD 123265,tic_near,-408.3580817138704,0.023706879466772,-93.03669258396418,0.0220783911645412,GaiaDR3,2023A&A...674A...1G,,,,,9.19,,Simbad,,8.36,,Simbad,,,,,,,,,,6.952,0.024,TIC,2019AJ....158..138S,6.602,0.046,TIC,2019AJ....158..138S,6.503,0.024,TIC,2019AJ....158..138S,7.626,0.006,8.146498680114746,0.0027664456273537,gaia_dr3,2023A&A...674A...1G,8.549094200134277,0.0028629646064177,7.576239585876465,0.0038010683222031,24.65255725283322,0.0272799283266067,GaiaDR3,2023A&A...674A...1G,40.50593948364258,0.0377330780029296,bj2021,2021AJ....161..147B,0,K1V,1999MSS...C05....0H,1,5357.0,21.0,Pastel,2022A&A...663A...4S,4.421405781613407,0.0562339505769172,calculated_from_M_and_R,Calculated Value,4.34,0.05,Pastel,2022A&A...663A...4S,0.23,0.03,Pastel,2022A&A...663A...4S,-0.1491690311591071,0.010832747363558,update_TIC,Calculated Value,0.9777432727418192,0.0144034299427331,calc_from_L_and_Teff,Calculated Value,0.92,0.116,TIC,2019AJ....158..138S,0,,,,,,,,,,,,0,0,,,,,,,0,,HD123265,5338,4.29,0.85,HD123265,211.672,-5.51834
TIC 257460434,30.20312738549,-12.87497968299,30.204114734421708,-12.87445436741704,257460434.0,5.149717881562905e+18,5.149717881562905e+18,9404.0,2MASS J02004876-1252297,5280-01480-1,,HD  12345,tic_near,216.4444989889973,0.0216386839747428,118.24853334987772,0.0171918794512748,GaiaDR3,2023A&A...674A...1G,,,,,9.52,,Simbad,,8.77,,Simbad,,,,,,,,,,7.393,0.024,TIC,2019AJ....158..138S,7.066,0.053,TIC,2019AJ....158..138S,6.99,0.027,TIC,2019AJ....158..138S,8.086,0.006,8.575618743896484,0.0027593671897087,gaia_dr3,2023A&A...674A...1G,8.947294235229492,0.0028285634922844,8.030299186706543,0.0037885063899056,22.33213753021401,0.0201083179563283,GaiaDR3,2023A&A...674A...1G,44.71964645385742,0.0426349639892578,bj2021,2021AJ....161..147B,0,G8III,1988MSS...C04....0H,1,5445.0,39.0,Pastel,2022A&A...663A...4S,4.513520654591409,0.0257035009299999,calculated_from_M_and_R,Calculated Value,4.42,0.07,Pastel,2022A&A...663A...4S,-0.18,0.02,Pastel,2022A&A...663A...4S,-0.2386657416779842,0.0102153244959331,update_TIC,Calculated Value,0.8537368076602412,0.0158235148124721,calc_from_L_and_Teff,Calculated Value,0.8671635985374451,0.0400091111660003,gaia_dr3_flame,2023A&A...674A...1G,0,9.48069190979004,1.5389175415039062,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,HD12345,5395,4.44,0.69,HD12345,30.20313,-12.87498
TIC 242309774,212.52005513148,-46.26945041214,212.5194521125952,-46.269947758661246,242309774.0,6.096062866670779e+18,6.096062866670779e+18,69202.0,2MASS J14100482-4616099,8264-02375-1,,HD 123651,tic_near,-94.11183450764304,0.0287171434611082,-111.76705372416455,0.0274575799703598,GaiaDR3,2023A&A...674A...1G,,,,,8.72,,Simbad,,8.19,,Simbad,,,,,,,,,,7.074,0.018,TIC,2019AJ....158..138S,6.832,0.023,TIC,2019AJ....158..138S,6.712,0.017,TIC,2019AJ....158..138S,7.642,0.006,8.051228523254395,0.0027818796000132,gaia_dr3,2023A&A...674A...1G,8.336753845214844,0.0030994843826452,7.593567371368408,0.0038874862224251,20.202822456096893,0.0294029042124748,GaiaDR3,2023A&A...674A...1G,49.43609237670898,0.089090347290039,bj2021,2021AJ....161..147B,0,G0/1V,1978MSS...C02....0H,1,5975.0,33.0,Pastel,2022A&A...663A...4S,4.480080454804955,0.0238546188871864,calculated_from_M_and_R,Calculated Value,4.46,0.09,Pastel,2022A&A...663A...4S,-0.5,0.04,Pastel,2022A&A...663A...4S,0.0395848560287772,0.0142672120759236,update_TIC,Calculated Value,0.976718139848031,0.0193335783388526,calc_from_L_and_Teff,Calculated Value,1.0508756637573242,0.0400124192237854,gaia_dr3_flame,2023A&A...674A...1G,0,2.423424243927002,0.8654065728187561,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,HD123651,5926,4.55,1.05,HD123651,212.52006,-46.26945
TIC 290543478,4.05282979455,-79.85117909388,4.063774501401125,-79.85142960812378,290543478.0,4.634528720388463e+18,4.634528720388463e+18,1292.0,2MASS J00161266-7951042,9354-00780-1,WDS J00162-7951A,HD   1237,tic_near,434.10486443632266,0.0265958812087774,-56.33934229081832,0.0214810762554407,GaiaDR3,2023A&A...674A...1G,7.692,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.335,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.578,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,,,,,,,,,5.366,0.021,TIC,2019AJ....158..138S,4.99,0.038,TIC,2019AJ....158..138S,4.859,0.023,TIC,2019AJ....158..138S,5.912,0.006,6.40867280960083,0.0028552420522539,gaia_dr3,2023A&A...674A...1G,6.787174224853516,0.0043869756589618,5.862994194030762,0.0042022463645699,56.96442817792121,0.0192153025418519,GaiaDR3,2023A&A...674A...1G,17.553613662719727,0.0059785842895507,bj2021,2021AJ....161..147B,0,G8V,2006A&A...460..695T,1,5522.0,13.0,Pastel,2022A&A...663A...4S,4.478765623813576,0.023320456429011,calculated_from_M_and_R,Calculated Value,4.49,0.03,Pastel,2022A&A...663A...4S,0.11,0.02,Pastel,2022A&A...663A...4S,-0.1893834030033814,0.0103182957875112,update_TIC,Calculated Value,0.8785533492828035,0.0112265573280907,calc_from_L_and_Teff,Calculated Value,0.8476845622062683,0.0400323271751403,gaia_dr3_flame,2023A&A...674A...1G,0,,,gaia_dr3_flame,2023A&A...674A...1G,,3.985026,14.527589,4.634528720387797e+18,3.985026,14.527589,4.634528720387797e+18,1,1,A,4.0,5.04,4.634528720387797e+18,3.985,8.1178,1,GJ 3021,HD1237,5514,4.5,1.09,HD1237,4.05282,-79.85118
TIC 111245241,30.13385553455,-40.73124789872,30.136438035803955,-40.73316109913184,111245241.0,4.958188247405309e+18,4.958188247405309e+18,9381.0,2MASS J02003210-4043523,7553-00595-1,,HD  12387,tic_near,440.4018579389903,0.0124779231846332,-430.5828605554667,0.0159102790057659,GaiaDR3,2023A&A...674A...1G,,,,,8.02,,Simbad,,7.36,,Simbad,,,,,,,,,,6.153,0.021,TIC,2019AJ....158..138S,5.844,0.024,TIC,2019AJ....158..138S,5.768,0.017,TIC,2019AJ....158..138S,6.768,0.006,7.216874599456787,0.0027588577539135,gaia_dr3,2023A&A...674A...1G,7.538945198059082,0.0028073395639452,6.720363616943359,0.0037949029842408,28.427389252851032,0.0162149891257286,GaiaDR3,2023A&A...674A...1G,35.155609130859375,0.0248355865478515,bj2021,2021AJ....161..147B,0,G5VFe-0.8CH-0.7,2006AJ....132..161G,1,5708.0,16.0,Pastel,2022A&A...663A...4S,4.296325279463719,0.0221245878758772,calculated_from_M_and_R,Calculated Value,4.4,0.04,Pastel,2022A&A...663A...4S,-0.24,0.02,Pastel,2022A&A...663A...4S,0.0850523752219594,0.0103630852850414,update_TIC,Calculated Value,1.1277449825866903,0.0148664211098548,calc_from_L_and_Teff,Calculated Value,0.9176550507545472,0.0400013327598571,gaia_dr3_flame,2023A&A...674A...1G,0,13.21509075164795,0.7896270751953116,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,HD12387,5700,4.39,0.93,HD12387,30.13386,-40.73125
TIC 308311310,212.94238743767,-12.61176645967,212.9412301499595,-12.612565822058915,308311310.0,6.303961686341505e+18,6.303961686341505e+18,69357.0,2MASS J14114619-1236420,5561-00033-1,WDS J14118-1237A,HD 124106,tic_near,-254.0193407350207,0.0285304840654134,-179.72866859185123,0.0236948430538177,GaiaDR3,2023A&A...674A...1G,9.351,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,8.819,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.946,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.459,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.031,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.36,0.02,TIC,2019AJ....158..138S,5.949,0.023,TIC,2019AJ....158..138S,5.861,0.024,TIC,2019AJ....158..138S,7.128,0.008,7.694141864776611,0.0027720518398494,gaia_dr3,2023A&A...674A...1G,8.134254455566406,0.0029675631852923,7.0841264724731445,0.0039527441662309,43.38575277857925,0.0258055198937654,GaiaDR3,2023A&A...674A...1G,23.02802276611328,0.0127058029174786,bj2021,2021AJ....161..147B,0,K1V,1988MSS...C04....0H,1,5123.0,14.0,Pastel,2022A&A...663A...4S,4.595507177027027,0.0248857094044679,calculated_from_M_and_R,Calculated Value,4.53,0.04,Pastel,2022A&A...663A...4S,-0.14,0.02,Pastel,2022A&A...663A...4S,-0.4406025979628831,0.0126196500660073,update_TIC,Calculated Value,0.7643682410041427,0.0118652359921871,calc_from_L_and_Teff,Calculated Value,0.8395466208457947,0.0404345393180847,gaia_dr3_flame,2023A&A...674A...1G,0,3.4067482948303223,1.9573130011558533,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,1,1,A,7.5,13.9,,,,0,,HD124106,5106,4.49,0.8,HD124106,212.94238,-12.61176
TIC 147718994,213.18849388977,-3.32008330155,213.18776960292263,-3.3215159987373557,147718994.0,3.646061719703116e+18,3.646061719703116e+18,69414.0,2MASS J14124525-0319120,4979-00117-1,,HD 124292,tic_near,-162.49834321646225,0.0323680266737937,-322.1381466313661,0.0257400572299957,GaiaDR3,2023A&A...674A...1G,8.072,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.783,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.039,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.634,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.265,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,5.737,0.018,TIC,2019AJ....158..138S,5.376,0.04,TIC,2019AJ....158..138S,5.304,0.031,TIC,2019AJ....158..138S,6.366,0.006,6.860589981079102,0.0027644288658847,gaia_dr3,2023A&A...674A...1G,7.228835105895996,0.0030558002279384,6.320595741271973,0.0038085616429803,45.89535816373623,0.0304088182747364,GaiaDR3,2023A&A...674A...1G,21.77126121520996,0.0145998001098632,bj2021,2021AJ....161..147B,0,G8/K0V,1999MSS...C05....0H,1,5487.0,14.0,Pastel,2022A&A...663A...4S,4.461691341140512,0.0233987646461179,calculated_from_M_and_R,Calculated Value,4.48,0.03,Pastel,2022A&A...663A...4S,-0.1,0.02,Pastel,2022A&A...663A...4S,-0.1783151494273408,0.0104792554465539,update_TIC,Calculated Value,0.9012082312653248,0.0118053814370465,calc_from_L_and_Teff,Calculated Value,0.8575787544250488,0.0403737723827362,gaia_dr3_flame,2023A&A...674A...1G,0,12.621848106384276,1.3538975715637198,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,HD124292,5443,4.37,0.77,HD124292,213.1885,-3.32008
TIC 330551022,213.60344345205,-48.14663704782,213.6027625106794,-48.14717876890452,330551022.0,6.09257325298142e+18,6.09257325298142e+18,69570.0,2MASS J14142483-4808477,8268-01792-1,WDS J12452-5721B,HD 124364,tic_near,-102.14278688119772,0.0254160929471254,-121.98656922712424,0.0338535942137241,GaiaDR3,2023A&A...674A...1G,,,,,8.89,0.02,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,8.23,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,6.992,0.026,TIC,2019AJ....158..138S,6.671,0.034,TIC,2019AJ....158..138S,6.579,0.018,TIC,2019AJ....158..138S,7.596,0.006,8.057622909545898,0.0027643482624546,gaia_dr3,2023A&A...674A...1G,8.393170356750488,0.0028133639531661,7.544261932373047,0.003791237538801,26.36464014115453,0.026759972795844,GaiaDR3,2023A&A...674A...1G,37.89752197265625,0.0406036376953125,bj2021,2021AJ....161..147B,0,G5V,2006AJ....132..161G,1,5617.0,21.0,Pastel,2022A&A...663A...4S,4.562742108891063,0.0217813766727089,calculated_from_M_and_R,Calculated Value,4.51,0.05,Pastel,2022A&A...663A...4S,-0.24,0.03,Pastel,2022A&A...663A...4S,-0.1835773229111052,0.0106529551360037,update_TIC,Calculated Value,0.8547815422347916,0.012278308571519,calc_from_L_and_Teff,Calculated Value,0.9736093878746032,0.0400252044200897,gaia_dr3_flame,2023A&A...674A...1G,0,0.5195046663284302,0.7044397220015526,gaia_dr3_flame,2023A&A...674A...1G,,8.706242,16.650349,6.092573356071362e+18,6.462471,19.357916,6.092573257285325e+18,1,1,B,86837.22432428625,-0.370000000000001,,,,0,,HD124364,5584,4.48,0.83,HD124364,213.60343,-48.14664
TIC 413356994,214.77014233254,-59.3790374222,214.76617301528017,-59.38264069990895,413356994.0,5.866992641380992e+18,5.866992641380992e+18,69972.0,2MASS J14190485-5922447,8690-00554-1,,HD 125072,tic_near,-454.967758414664,0.0164877269417047,-810.6092064135089,0.0215352661907672,GaiaDR3,2023A&A...674A...1G,,,,,7.69,,Simbad,,6.66,,Simbad,,,,,,,,,,4.976,0.03,TIC,2019AJ....158..138S,4.671,0.262,TIC,2019AJ....158..138S,4.332,0.036,TIC,2019AJ....158..138S,5.738,0.006,6.354505062103272,0.0027598564827984,gaia_dr3,2023A&A...674A...1G,6.867697715759277,0.0028687308904936,5.683081150054932,0.0039559179012292,84.60291005524316,0.0217688232660293,GaiaDR3,2023A&A...674A...1G,11.817743301391602,0.0033483505249032,bj2021,2021AJ....161..147B,0,K3IV,2006AJ....132..161G,1,4903.0,18.0,Pastel,2022A&A...663A...4S,4.525441723959778,0.0544844205331754,calculated_from_M_and_R,Calculated Value,4.56,0.03,Pastel,2022A&A...663A...4S,0.31,0.03,Pastel,2022A&A...663A...4S,-0.4677418263658141,0.0163755643554294,update_TIC,Calculated Value,0.8088312925767469,0.0163645888953013,calc_from_L_and_Teff,Calculated Value,0.8,0.095,TIC,2019AJ....158..138S,0,,,,,,,,,7.969561,,5.86699264136684e+18,0,0,,,,,,,0,,HD125072,5007,4.56,1.04,HD125072,214.77015,-59.37904
TIC 6041460,214.50302828761,-7.54239222072,214.50422536374725,-7.543444637371622,6041460.0,3.6397605216434995e+18,3.6397605216434995e+18,69881.0,2MASS J14180071-0732325,5562-00839-1,WDS J14180-0733A,HD 125184,tic_near,267.12808686871114,0.0227842479944229,-236.75737543940076,0.016293715685606,GaiaDR3,2023A&A...674A...1G,,,,,7.2,,Simbad,,6.5,,Simbad,,,,,,,,,,5.293,0.043,TIC,2019AJ....158..138S,4.949,0.016,TIC,2019AJ....158..138S,4.833,0.017,TIC,2019AJ....158..138S,5.821,0.007,6.297371864318848,0.0027739152563342,gaia_dr3,2023A&A...674A...1G,6.649797439575195,0.0029766798630908,5.773413181304932,0.0038619183219236,30.34916863806619,0.0206779092550277,GaiaDR3,2023A&A...674A...1G,32.91987991333008,0.0222148895263671,bj2021,2021AJ....161..147B,0,G5/6V,1999MSS...C05....0H,1,5652.0,19.0,Pastel,2022A&A...663A...4S,4.020792062664169,0.0208490486661228,calculated_from_M_and_R,Calculated Value,4.1,0.03,Pastel,2022A&A...663A...4S,0.28,0.02,Pastel,2022A&A...663A...4S,0.3957156219051468,0.0109003102201525,update_TIC,Calculated Value,1.6447736865879192,0.0234165834002357,calc_from_L_and_Teff,Calculated Value,1.0349913835525513,0.0400031805038452,gaia_dr3_flame,2023A&A...674A...1G,0,9.627863883972168,0.902667999267578,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,1,1,A,73.7,6.23,,,,0,,HD125184,5680,4.1,1.13,HD125184,214.50303,-7.54239
TIC 421255607,216.64857411337,-81.45331081359,216.6473653838716,-81.45430673895704,421255607.0,5.772625505422769e+18,5.772625505422769e+18,70610.0,2MASS J14263566-8127119,9439-01107-1,,HD 125271,tic_near,-40.53423473959767,0.0261791758239269,-224.1442119495772,0.0272208172827959,GaiaDR3,2023A&A...674A...1G,,,,,10.78,0.04,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,9.79,0.03,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,,,,,7.724,0.026,TIC,2019AJ....158..138S,7.228,0.029,TIC,2019AJ....158..138S,7.069,0.023,TIC,2019AJ....158..138S,8.709,0.006,9.369236946105955,0.0027677922457191,gaia_dr3,2023A&A...674A...1G,9.887818336486816,0.0028520651171205,8.608131408691406,0.0038531305266073,25.44865785953649,0.0230567175894975,GaiaDR3,2023A&A...674A...1G,39.276981353759766,0.0289878845214843,bj2021,2021AJ....161..147B,0,K3+Vk:,2006AJ....132..161G,1,4704.0,73.0,Pastel,2022A&A...663A...4S,4.56299683994088,0.0603464115361754,calculated_from_M_and_R,Calculated Value,4.33,0.18,Pastel,2022A&A...663A...4S,-0.22,0.06,Pastel,2022A&A...663A...4S,-0.6053039866595444,0.0160912041495455,update_TIC,Calculated Value,0.7500082237023192,0.0271096806136231,calc_from_L_and_Teff,Calculated Value,0.75,0.089,TIC,2019AJ....158..138S,0,,,,,,8.893982,16.380116,5.772625441000965e+18,0.796387,,5.772625509718213e+18,0,0,,,,,,,1,HD 125271,HD125271,4779,4.33,0.36,HD125271,216.64855,-81.45331
TIC 203230367,214.89526428431,-5.15119171539,214.89243910190208,-5.151728184565362,203230367.0,3.6424137462805985e+18,3.6424137462805985e+18,70016.0,2MASS J14193488-0509041,4982-01062-1,WDS J14196-0509A,HD 125455,tic_near,-632.950788212022,0.0314987264573574,-120.7074118863752,0.0292092561721801,GaiaDR3,2023A&A...674A...1G,8.946,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,8.426,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.569,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,7.093,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.664,,Simbad 2010MNRAS.403.1949K,2010MNRAS.403.1949K,6.089,0.029,TIC,2019AJ....158..138S,5.643,0.04,TIC,2019AJ....158..138S,5.541,0.034,TIC,2019AJ....158..138S,6.798,0.006,7.352909564971924,0.0027644205085558,gaia_dr3,2023A&A...674A...1G,7.786069869995117,0.0029437784194173,6.750986576080322,0.0038104812040257,48.90154186736446,0.0444566532969474,GaiaDR3,2023A&A...674A...1G,20.43319320678711,0.0183076858520525,bj2021,2021AJ....161..147B,0,K1V,1999MSS...C05....0H,1,5149.0,17.0,Pastel,2022A&A...663A...4S,4.582744632444404,0.0558473618715769,calculated_from_M_and_R,Calculated Value,4.51,0.04,Pastel,2022A&A...663A...4S,-0.18,0.02,Pastel,2022A&A...663A...4S,-0.4085922762745908,0.0128967043224456,update_TIC,Calculated Value,0.7850742320606543,0.0127574464559122,calc_from_L_and_Teff,Calculated Value,0.86,0.107,TIC,2019AJ....158..138S,0,,,,,,,,,,,,1,1,A,15.2,5.32,3.642410791343099e+18,15.1794,6.1452,0,,HD125455,5162,4.52,0.7,HD125455,214.89526,-5.15119
TIC 6112116,215.03393348664,-11.05841381625,215.03339951009224,-11.058603472019366,6112116.0,6.303903171707086e+18,6.303903171707086e+18,70049.0,2MASS J14200815-1103302,5566-00312-1,,HD 125522,tic_near,-117.90608171670702,0.018860325217247,-42.664173895077525,0.0158743262290954,GaiaDR3,2023A&A...674A...1G,,,,,10.91,,Simbad,,10.13,,Simbad,,,,,,,,,,8.233,0.021,TIC,2019AJ....158..138S,7.743,0.059,TIC,2019AJ....158..138S,7.618,0.033,TIC,2019AJ....158..138S,9.113,0.006,9.733125686645508,0.0027640729571613,gaia_dr3,2023A&A...674A...1G,10.255817413330078,0.0028234432942587,9.054632186889648,0.0037887366228433,22.7768669689496,0.0158045850694179,GaiaDR3,2023A&A...674A...1G,43.8371467590332,0.0297298431396448,bj2021,2021AJ....161..147B,0,K3V,1999MSS...C05....0H,1,4839.0,71.0,Pastel,2022A&A...663A...4S,4.705619173480719,0.0584269189378136,calculated_from_M_and_R,Calculated Value,4.45,0.15,Pastel,2022A&A...663A...4S,-0.46,0.05,Pastel,2022A&A...663A...4S,-0.6762072561384748,0.0143559923356351,update_TIC,Calculated Value,0.6531873608376807,0.0219989055833942,calc_from_L_and_Teff,Calculated Value,0.79,0.092,TIC,2019AJ....158..138S,0,,,,,,,,,,,,1,0,,,,6.303903137347346e+18,14.1797,6.4599,0,,HD125522,4839,4.45,0.4,HD125522,215.03394,-11.05842
