star_name,ra,dec,ra_J2016,dec_J2016,tic_id,gaia_dr2_id,gaia_dr3_id,hip_name,tm_name,tyc_name,wds_designation,simbad_name,source_list_fl,sy_pmra,sy_pmraerr,sy_pmdec,sy_pmdecerr,sy_pmsrc,sy_pm_reflink,sy_ujmag,sy_ujmagerr,sy_ujmagsrc,sy_ujmag_reflink,sy_bmag,sy_bmagerr,sy_bmagsrc,sy_bmag_reflink,sy_vmag,sy_vmagerr,sy_vmagsrc,sy_vmag_reflink,sy_rcmag,sy_rcmagerr,sy_rcmagsrc,sy_rcmag_reflink,sy_icmag,sy_icmagerr,sy_icmagsrc,sy_icmag_reflink,sy_jmag,sy_jmagerr,sy_jmagsrc,sy_jmag_reflink,sy_hmag,sy_hmagerr,sy_hmagsrc,sy_hmag_reflink,sy_kmag,sy_kmagmerr,sy_kmagsrc,sy_kmag_reflink,sy_tmag,sy_tmagerr,sy_gaiamag,sy_gaiamagerr,sy_gaiamagsrc,sy_gaiamag_reflink,sy_bpmag,sy_bpmagerr,sy_rpmag,sy_rpmagerr,sy_plx,sy_plxerr,sy_plxsrc,sy_plx_reflink,sy_dist,sy_disterr,sy_distsrc,sy_dist_reflink,ambiguous_dist_fl,st_spectype,st_spectype_reflink,dwarf_fl,st_teff,st_tefferr,st_teffsrc,st_teff_reflink,st_logg,st_loggerr,st_loggsrc,st_logg_reflink,st_loggspec,st_loggspecerr,st_loggspecsrc,st_loggspec_reflink,st_met,st_meterr,st_metsrc,st_met_reflink,st_lum,st_lumerr,st_lumsrc,st_lum_reflink,st_rad,st_raderr,st_radsrc,st_rad_reflink,st_mass,st_masserr,st_masssrc,st_mass_reflink,uncertain_M_flag,st_age,st_ageerr,st_agesrc,st_age_reflink,contaminant_fl,brightest_sep,brightest_Gmag,brightest_id,nearest_sep,nearest_Gmag,nearest_id,known_binary_fl,gaia_binary_fl,wds_comp,wds_sep,wds_deltamag,GCNS_companion,GCNS_sep,GCNS_mag_diff,sy_planets_flag,hostname,Name,Teff,logg,S,logRhk,Vbr,Vsini,Vmac,Vrad,SNR,Simbad,RAJ2000,DEJ2000
TIC 120462356,1.46893719781,-41.75306833826,1.4695196103890231,-41.753408063428445,120462356.0,4.99585301464619e+18,4.99585301464619e+18,490.0,2MASS J00055255-4145109,7526-01226-1,,HD    105,tic_near,97.86264909476064,0.0167849380522966,-76.50209606515111,0.0180175304412841,GaiaDR3,2023A&A...674A...1G,,,,,8.13,,Simbad,,7.53,,Simbad,,,,,,,,,,6.464,0.02,TIC,2019AJ....158..138S,6.189,0.023,TIC,2019AJ....158..138S,6.117,0.02,TIC,2019AJ....158..138S,6.983,0.006,7.395555973052979,0.0028178987222646,gaia_dr3,2023A&A...674A...1G,7.684234142303467,0.0035059268531121,6.933504581451416,0.004131319088923,25.753415493475277,0.0211349688470363,GaiaDR3,2023A&A...674A...1G,38.80204391479492,0.0356121063232421,bj2021,2021AJ....161..147B,0,G0V,2006A&A...460..695T,1,6052.0,23.0,Pastel,2022A&A...663A...4S,4.437916132362831,0.0223915565047124,calculated_from_M_and_R,Calculated Value,4.52,0.06,Pastel,2022A&A...663A...4S,0.06,0.03,Pastel,2022A&A...663A...4S,0.0907860042884884,0.0129342157458892,update_TIC,Calculated Value,1.0098289297625327,0.0168830564800242,calc_from_L_and_Teff,Calculated Value,1.019398808479309,0.040006846189499,gaia_dr3_flame,2023A&A...674A...1G,0,5.509660243988037,0.9456555843353271,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,HD 105,6033,4.53,0.38,-4.35,17.8,14.6,4.9,10.2,247,Simbad,00 05 52.5,-41 45 11
TIC 238432056,1.65326704382,29.02150289093,1.655198904590879,29.02071363055181,238432056.0,2.8609246212052567e+18,2.8609246212052567e+18,544.0,2MASS J00063674+2901175,1735-00927-1,WDS J00066+2901A,HD    166,tic_near,380.1592537624844,0.0335530862212181,-177.729603753582,0.0167293697595596,GaiaDR3,2023A&A...674A...1G,,,,,6.82,0.01,Simbad 2002A&A...384..180F,2002A&A...384..180F,6.07,0.01,Simbad 2002A&A...384..180F,2002A&A...384..180F,5.6,,Simbad 2003AJ....125..984M,2003AJ....125..984M,,,,,4.733,0.019,TIC,2019AJ....158..138S,4.629,0.144,TIC,2019AJ....158..138S,4.314,0.042,TIC,2019AJ....158..138S,5.397,0.006,5.878326892852783,0.002786646543823,gaia_dr3,2023A&A...674A...1G,6.250121116638184,0.0032771543569986,5.33311939239502,0.0045061945485212,72.64189108452184,0.0292085856199264,GaiaDR3,2023A&A...674A...1G,13.758092880249023,0.0053672790527343,bj2021,2021AJ....161..147B,0,G8,1985ApJS...59..197B,1,5491.0,18.0,Pastel,2022A&A...663A...4S,4.485297681249577,0.0232058509401736,calculated_from_M_and_R,Calculated Value,4.55,0.03,Pastel,2022A&A...663A...4S,0.11,0.01,Pastel,2022A&A...663A...4S,-0.1898614487769318,0.0103624304736267,update_TIC,Calculated Value,0.8880124057803107,0.0120884859159921,calc_from_L_and_Teff,Calculated Value,0.8791604042053223,0.0404211282730102,gaia_dr3_flame,2023A&A...674A...1G,0,9.59831714630127,1.630162000656128,gaia_dr3_flame,2023A&A...674A...1G,,6.956516,19.675398,2.8609246212059366e+18,6.956516,19.675398,2.8609246212059366e+18,1,1,A,193.6,4.19,,,,0,,HD 166,5489,4.51,0.42,-4.4,5.0,4.1,2.6,-7.2,357,Simbad,00 06 36.8,+29 01 17
TIC 405187645,2.10727337408,6.61680227297,2.1076643394278456,6.616794493147512,405187645.0,2.745647973856852e+18,2.745647973856852e+18,682.0,2MASS J00082573+0637004,0007-00632-1,,HD    377,tic_near,87.52487887794223,0.0376220606267452,-1.8270634766019809,0.0270057767629623,GaiaDR3,2023A&A...674A...1G,,,,,8.22,0.02,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.59,0.01,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,,,,,6.9,0.01,Simbad 2013ApJS..208...29W,2013ApJS..208...29W,6.422,0.021,TIC,2019AJ....158..138S,6.149,0.021,TIC,2019AJ....158..138S,6.116,0.021,TIC,2019AJ....158..138S,7.019,0.006,7.450479984283447,0.0027935635692406,gaia_dr3,2023A&A...674A...1G,7.757208347320557,0.0031440492598456,6.9722580909729,0.0040219418778234,26.03863506376948,0.0283437650650739,GaiaDR3,2023A&A...674A...1G,38.34118270874024,0.0405788421630823,bj2021,2021AJ....161..147B,0,G2V,2006A&A...460..695T,1,5872.0,25.0,Pastel,2022A&A...663A...4S,4.3945936081994805,0.022998486562434,calculated_from_M_and_R,Calculated Value,4.36,0.05,Pastel,2022A&A...663A...4S,0.14,0.03,Pastel,2022A&A...663A...4S,0.0623643479856314,0.0125172163176139,update_TIC,Calculated Value,1.038156255109271,0.0173772992112366,calc_from_L_and_Teff,Calculated Value,0.9751051068305968,0.0400103330612182,gaia_dr3_flame,2023A&A...674A...1G,0,7.743963241577148,1.0818264484405518,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,HD 377,5895,4.46,0.38,-4.37,17.5,14.6,4.1,0.9,248,Simbad,00 08 25.7,+06 37 00
TIC 22527304,2.84348905284,30.44957620134,2.8445698186203345,30.44973439006315,22527304.0,2.8615020323127235e+18,2.8615020323127235e+18,919.0,2MASS J00112240+3026584,2260-01042-1,,V* V344 And,tic_near,209.63854412992555,0.024008261039853,35.60075679661214,0.0212523955851793,GaiaDR3,2023A&A...674A...1G,,,,,8.719,0.017,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.941,0.011,Simbad 2000A&A...355L..27H,2000A&A...355L..27H,7.5,,Simbad 2003AJ....125..984M,2003AJ....125..984M,,,,,6.576,0.021,TIC,2019AJ....158..138S,6.257,0.018,TIC,2019AJ....158..138S,6.176,0.021,TIC,2019AJ....158..138S,7.254,0.006,7.755166053771973,0.0027997612081563,gaia_dr3,2023A&A...674A...1G,8.128432273864746,0.0037194426521219,7.202911376953125,0.0041585002942342,29.342741057004893,0.023672753944993,GaiaDR3,2023A&A...674A...1G,34.0346794128418,0.0288372039794921,bj2021,2021AJ....161..147B,0,K0V,,1,5561.0,72.0,Pastel,2022A&A...663A...4S,4.454696747583339,0.0319961516301886,calculated_from_M_and_R,Calculated Value,4.57,0.09,Pastel,2022A&A...663A...4S,0.28,0.04,Pastel,2022A&A...663A...4S,-0.1501750181458348,0.0101376224242069,update_TIC,Calculated Value,0.9062736345508235,0.0257412404301525,calc_from_L_and_Teff,Calculated Value,0.8533905148506165,0.0400350987911224,gaia_dr3_flame,2023A&A...674A...1G,0,,,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,HD 691,5489,4.48,0.56,-4.25,6.4,5.6,2.6,-3.2,258,Simbad,00 11 22.4,+30 26 58
TIC 12880347,4.49528769286,-13.45564130845,4.497121279564225,-13.455641929479896,12880347.0,2.42329287994872e+18,2.42329287994872e+18,1444.0,2MASS J00175884-1327204,5267-01131-1,,HD   1388,tic_near,401.6415779090277,0.0316192172467708,-0.2377277057590994,0.0172368474304676,GaiaDR3,2023A&A...674A...1G,,,,,7.09,,Simbad,,6.5,,Simbad,,,,,,,,,,5.383,0.034,TIC,2019AJ....158..138S,5.065,0.029,TIC,2019AJ....158..138S,4.993,0.02,TIC,2019AJ....158..138S,5.951,0.006,6.369294166564941,0.002760835792702,gaia_dr3,2023A&A...674A...1G,6.662797927856445,0.0028572888514938,5.900518894195557,0.0038628056457048,37.14173648080181,0.0254927314817905,GaiaDR3,2023A&A...674A...1G,26.89901733398437,0.0171718597412109,bj2021,2021AJ....161..147B,0,G0V,2006AJ....132..161G,1,5922.0,15.0,Pastel,2022A&A...663A...4S,4.296417107524616,0.0217002118410893,calculated_from_M_and_R,Calculated Value,4.35,0.03,Pastel,2022A&A...663A...4S,-0.02,0.02,Pastel,2022A&A...663A...4S,0.1853379301202521,0.0121498534563964,update_TIC,Calculated Value,1.1759390265906622,0.0174945600172896,calc_from_L_and_Teff,Calculated Value,0.9979736804962158,0.0400602519512176,gaia_dr3_flame,2023A&A...674A...1G,0,8.889911651611328,1.0087239742279053,gaia_dr3_flame,2023A&A...674A...1G,,1.797994,11.411153,2.4232928799474924e+18,1.797994,11.411153,2.4232928799474924e+18,0,0,,,,,,,0,,HD 1388,5924,4.32,0.16,-4.97,4.9,2.3,4.2,29.2,250,Simbad,00 17 58.9,-13 27 20
TIC 37748347,4.67444736855,-8.0530016027,4.676323038587316,-8.05364062584043,37748347.0,2.430102808294102e+18,2.430102808294102e+18,1499.0,2MASS J00184182-0803105,5261-00789-1,,HD   1461,tic_near,417.5788319825975,0.0329549461603164,-143.90048861360668,0.0238717328757047,GaiaDR3,2023A&A...674A...1G,,,,,7.14,,Simbad,,6.46,,Simbad,,,,,,,,,,5.329,0.018,TIC,2019AJ....158..138S,5.041,0.047,TIC,2019AJ....158..138S,4.897,0.023,TIC,2019AJ....158..138S,5.858,0.006,6.307262897491455,0.0027672038319288,gaia_dr3,2023A&A...674A...1G,6.637896537780762,0.0030326236637267,5.8047194480896,0.003821073590878,42.73076832887228,0.0298508889973163,GaiaDR3,2023A&A...674A...1G,23.381818771362305,0.0166339874267578,bj2021,2021AJ....161..147B,0,G3VFe0.5,1989ApJS...71..245K,1,5737.0,15.0,Pastel,2022A&A...663A...4S,4.302259166325083,0.0220446234306066,calculated_from_M_and_R,Calculated Value,4.36,0.03,Pastel,2022A&A...663A...4S,0.19,0.01,Pastel,2022A&A...663A...4S,0.0927409913293255,0.0106541962590175,update_TIC,Calculated Value,1.1262983314829185,0.0150183259561944,calc_from_L_and_Teff,Calculated Value,0.927894115447998,0.040075272321701,gaia_dr3_flame,2023A&A...674A...1G,0,12.280667304992676,1.2511110305786142,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,1,HD 1461,HD 1461,5739,4.34,0.16,-5.01,3.9,1.8,3.3,-11.6,317,Simbad,00 18 41.9,-08 03 11
TIC 274801993,7.72949387051,77.01940432841,7.736218600764686,77.01925183680748,274801993.0,5.400772640032385e+17,5.400772640032385e+17,2422.0,2MASS J00305507+7701101,4496-01534-1,,HD   2589,tic_near,339.814956942844,0.0205496661365032,-34.42182785650211,0.0245009660720825,GaiaDR3,2023A&A...674A...1G,,,,,7.05,,Simbad,,6.217,0.004,TIC mermil,2019AJ....158..138S,5.7,,Simbad 2003AJ....125..984M,2003AJ....125..984M,,,,,4.784,0.262,TIC,2019AJ....158..138S,4.267,0.036,TIC,2019AJ....158..138S,4.128,0.034,TIC,2019AJ....158..138S,5.404,0.006,5.956758975982666,0.0027693024684355,gaia_dr3,2023A&A...674A...1G,6.397315502166748,0.0028939697524593,5.345183372497559,0.0039393104881967,26.141404488674123,0.0220829732716083,GaiaDR3,2023A&A...674A...1G,38.2290267944336,0.0318508148193359,bj2021,2021AJ....161..147B,0,K0IV,,0,5112.0,29.0,Pastel,2022A&A...663A...4S,3.63569593598341,0.0177461941394911,calculated_from_M_and_R,Calculated Value,3.75,0.11,Pastel,2022A&A...663A...4S,-0.05,0.03,Pastel,2022A&A...663A...4S,0.6851905697552683,0.0008246146192709,gaia_dr3_flame,2023A&A...674A...1G,2.80586156065553,0.0319461461790539,calc_from_L_and_Teff,Calculated Value,1.2409685850143433,0.0421051383018494,gaia_dr3_flame,2023A&A...674A...1G,0,5.210993766784668,0.5636286735534668,gaia_dr3_flame,2023A&A...674A...1G,,,,,,,,0,0,,,,,,,0,,HD 2589,5062,3.65,0.15,-5.13,3.6,0.6,3.5,12.9,393,Simbad,00 30 55.1,+77 01 10
TIC 20926643,10.13664827516,-23.80492190725,10.139887086770493,-23.80646605948156,20926643.0,2.3474273979696425e+18,2.347427402266219e+18,3185.0,2MASS J00403279-2348172,6421-00824-1,,HD   3795,tic_near,668.1088623477734,0.0671878233551979,-346.8108560830965,0.0552750080823898,GaiaDR3,2023A&A...674A...1G,,,,,6.84,,Simbad,,6.14,,Simbad,,,,,,,,,,5.13,0.288,TIC,2019AJ....158..138S,4.545,0.214,TIC,2019AJ....158..138S,4.333,0.02,TIC,2019AJ....158..138S,5.462,0.006,5.953400135040283,0.0027670015647409,gaia_dr3,2023A&A...674A...1G,6.321023941040039,0.0028972272421959,5.40127420425415,0.0039732660569904,35.05079849265073,0.0640764310956001,GaiaDR3,2023A&A...674A...1G,28.50655937194824,0.0529041290283203,bj2021,2021AJ....161..147B,0,K0VFe-1.5CH-1.3,2006AJ....132..161G,1,5376.0,14.0,Pastel,2022A&A...663A...4S,3.863136179534144,0.05698475450302,calculated_from_M_and_R,Calculated Value,3.95,0.04,Pastel,2022A&A...663A...4S,-0.61,0.02,Pastel,2022A&A...663A...4S,0.4199461468201728,0.011775352684077,update_TIC,Calculated Value,1.869421349379188,0.0271494831964327,calc_from_L_and_Teff,Calculated Value,0.93,0.119,TIC,2019AJ....158..138S,0,,,,,,,,,,,,0,0,,,,,,,0,,HD 3795,5379,4.11,0.18,-4.93,3.1,1.9,2.3,-43.5,250,Simbad,00 40 32.8,-23 48 18
TIC 401446825,10.2994749238,9.35505792292,10.298922553155371,9.35459946071541,401446825.0,2.750176827892428e+18,2.750176827892428e+18,3236.0,2MASS J00411185+0921181,0604-01300-1,WDS J00412+0921A,HD   3861,tic_near,-122.73374318812476,0.0338275842368602,-103.07757959241872,0.0229338519275188,GaiaDR3,2023A&A...674A...1G,,,,,7.038,0.024,TIC tycho2b3,2019AJ....158..138S,6.524,0.023,TIC sirful,2019AJ....158..138S,6.2,,Simbad 2003AJ....125..984M,2003AJ....125..984M,,,,,5.575,0.03,TIC,2019AJ....158..138S,5.318,0.027,TIC,2019AJ....158..138S,5.28,0.018,TIC,2019AJ....158..138S,6.042,0.006,6.407355308532715,0.002762622303983,gaia_dr3,2023A&A...674A...1G,6.655791759490967,0.0028721129451813,5.99456262588501,0.0038377942590151,29.900625240186443,0.026928162202239,GaiaDR3,2023A&A...674A...1G,33.405277252197266,0.0327796936035156,bj2021,2021AJ....161..147B,0,F8V,2006AJ....132..161G,1,6241.0,24.0,Pastel,2022A&A...663A...4S,4.2853009463227885,0.022334520040351,calculated_from_M_and_R,Calculated Value,4.32,0.06,Pastel,2022A&A...663A...4S,0.11,0.03,Pastel,2022A&A...663A...4S,0.3546413539737173,0.0152207746525177,update_TIC,Calculated Value,1.286663427642274,0.0246229848345927,calc_from_L_and_Teff,Calculated Value,1.1645636558532717,0.0400013327598571,gaia_dr3_flame,2023A&A...674A...1G,0,3.454563617706299,0.6332967281341553,gaia_dr3_flame,2023A&A...674A...1G,,5.278609,16.732052,2.750176827891944e+18,5.278609,16.732052,2.750176827891944e+18,1,1,A,22.7,10.1,,,,0,,HD 3861,6219,4.29,0.18,-4.81,4.8,0.1,6.4,-15.9,293,Simbad,00 41 11.9,+09 21 18
TIC 43400838,11.11104477437,-26.5156828271,11.112601864577796,-26.515018438908708,43400838.0,2.3436473843683886e+18,2.3436473843683886e+18,3479.0,2MASS J00442661-2630566,6423-01832-1,,HD   4208,tic_near,313.5562708386514,0.0259394198656082,149.32364265026257,0.0252457354217767,GaiaDR3,2023A&A...674A...1G,,,,,8.46,,Simbad,,7.79,,Simbad,,,,,,,,,,6.57,0.03,TIC,2019AJ....158..138S,6.243,0.04,TIC,2019AJ....158..138S,6.163,0.021,TIC,2019AJ....158..138S,7.165,0.006,7.624323844909668,0.0027633627555253,gaia_dr3,2023A&A...674A...1G,7.958459854125977,0.002810313777342,7.115464210510254,0.0038013941390786,29.31866648929044,0.032242514193058,GaiaDR3,2023A&A...674A...1G,34.083892822265625,0.044189453125,bj2021,2021AJ....161..147B,0,G7VFe-1CH-0.5,2006AJ....132..161G,1,5656.0,17.0,Pastel,2022A&A...663A...4S,4.466038158370051,0.0230467433188688,calculated_from_M_and_R,Calculated Value,4.47,0.03,Pastel,2022A&A...663A...4S,-0.25,0.01,Pastel,2022A&A...663A...4S,-0.1031647915844323,0.0117554052046823,update_TIC,Calculated Value,0.924807722192378,0.0136953577357457,calc_from_L_and_Teff,Calculated Value,0.9121650457382202,0.040165364742279,gaia_dr3_flame,2023A&A...674A...1G,0,9.028383255004885,1.3728039264678955,gaia_dr3_flame,2023A&A...674A...1G,,8.868557,20.770346,2.3436473843678244e+18,8.868557,20.770346,2.3436473843678244e+18,0,0,,,,,,,1,HD 4208,HD 4208,5639,4.5,0.19,-4.83,3.1,0.1,3.0,56.5,246,Simbad,00 44 26.7,-26 30 56
